IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
1,22753,0,0,Marketing,Others,Training,M,HR,PG,Arts,Lucknow,2020.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Pune,0,N,B,0,0,0,0,384551
8,36521,19,11,Others,Analyst,Others,E,Manager,PG,Sociology,Delhi,2001.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Bangalore,2693459,N,C,6,1,1,0,3221376
11,47373,13,10,Education,Business Analyst,Automobile,L,Consultant,Doctorate,Mathematics,Mangalore,2000.0,Mathematics,Mangalore,2002.0,Others,Guwahati,2007.0,Bangalore,Nagpur,2232801,Y,Key_Performer,3,3,0,0,3125921
13,11739,10,10,Others,Bio statistician,Automobile,H,Consultant,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Kanpur,1446451,N,C,3,2,1,0,1663418
15,45111,12,9,Banking,Bio statistician,Telecom,J,Research Scientist,Grad,Zoology,Surat,2002.0,Others,Surat,2004.0,Others,Delhi,2008.0,Jaipur,Mumbai,1990865,N,C,6,3,0,0,2289494
16,29106,20,15,Healthcare,Analyst,IT,F,Medical Officer,PG,Sociology,Mumbai,2000.0,Sociology,Mumbai,2014.0,Others,Kolkata,2007.0,Kolkata,Kolkata,2624073,N,B,5,1,0,0,3411294
17,48969,4,4,Analytics/BI,Scientist,Analytics,G,Sr.Manager,Doctorate,Mathematics,Kolkata,2016.0,Mathematics,Kolkata,2009.0,Others,Kolkata,2007.0,Surat,Guwahati,1079725,Y,A,5,2,0,0,1572079
19,43538,14,9,Sales,Business Analyst,Telecom,M,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Chennai,1290371,N,D,5,3,1,0,1483926
22,48918,7,6,Banking,Analyst,Training,M,Sr.Manager,Doctorate,Mathematics,Jaipur,2013.0,Mathematics,Jaipur,2017.0,Others,Kolkata,2007.0,Mangalore,Kanpur,1669585,N,A,6,2,0,0,2344097
23,33614,22,6,Top Management,Consultant,BFSI,D,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Delhi,Pune,2148699,Y,A,2,8,5,0,2793308
29,32522,19,7,Healthcare,Project Manager,Telecom,D,Others,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Delhi,2617413,Y,Key_Performer,3,4,1,0,3402636
31,23886,4,4,Marketing,Bio statistician,Others,O,Medical Officer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Surat,565089,N,B,3,1,2,0,706361
33,32906,12,0,Marketing,Senior Researcher,BFSI,N,Marketing Manager,PG,Arts,Nagpur,2008.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Surat,1433186,N,D,6,0,0,0,1714090
34,16935,13,9,Healthcare,Analyst,Automobile,E,Others,PG,Others,Lucknow,2000.0,Chemistry,Lucknow,2002.0,Others,Pune,2007.0,Mumbai,Jaipur,2312085,Y,Key_Performer,2,8,1,0,3051952
36,42405,12,12,Sales,Analyst,Insurance,P,Assistant Manager,Doctorate,Engineering,Ahmedabad,2002.0,Engineering,Ahmedabad,2004.0,Others,Delhi,2008.0,Jaipur,Lucknow,2458995,Y,Key_Performer,3,8,0,0,3442593
37,10277,3,0,Banking,Team Lead,Training,L,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Nagpur,649849,N,C,1,7,0,0,747326
38,22973,12,5,Banking,Project Manager,FMCG,P,Marketing Manager,PG,Mathematics,Bangalore,2001.0,Mathematics,Bangalore,2003.0,Mathematics,Bhubaneswar,2008.0,Bhubaneswar,Bangalore,1462196,N,C,4,7,1,0,1748786
39,43576,21,16,Others,Consultant,BFSI,H,Medical Officer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Chennai,1787775,N,B,5,3,3,0,2234718
